Frame,Pixel Count
KNN,76800
GMG,0
CNT,76800
MOG,0
MOG2,76800
KNN,76800
GMG,0
CNT,76800
MOG,458
MOG2,3009
KNN,76735
GMG,0
CNT,76800
MOG,659
MOG2,3870
KNN,76726
GMG,0
CNT,76800
MOG,644
MOG2,1941
KNN,5320
GMG,0
CNT,76800
MOG,700
MOG2,2056
KNN,4390
GMG,0
CNT,76800
MOG,839
MOG2,2730
KNN,4506
GMG,0
CNT,76800
MOG,880
MOG2,2402
KNN,4038
GMG,0
CNT,76800
MOG,840
MOG2,1911
KNN,3620
GMG,0
CNT,76800
MOG,761
MOG2,1741
KNN,3343
GMG,0
CNT,76800
MOG,827
MOG2,1858
KNN,3689
GMG,0
CNT,76800
MOG,811
MOG2,2044
KNN,3705
GMG,0
CNT,76800
MOG,796
MOG2,1970
KNN,3824
GMG,0
CNT,76800
MOG,872
MOG2,2125
KNN,3915
GMG,0
CNT,76800
MOG,886
MOG2,2090
KNN,3925
GMG,0
CNT,76800
MOG,892
MOG2,1783
KNN,3997
GMG,0
CNT,4806
MOG,916
MOG2,2581
KNN,4017
GMG,0
CNT,4916
MOG,879
MOG2,3174
KNN,3851
GMG,0
CNT,4839
MOG,825
MOG2,3147
KNN,3755
GMG,0
CNT,4872
MOG,855
MOG2,2288
KNN,3661
GMG,0
CNT,4771
MOG,812
MOG2,2286
KNN,3601
GMG,0
CNT,4731
MOG,807
MOG2,2452
KNN,3705
GMG,0
CNT,4675
MOG,807
MOG2,2649
KNN,3738
GMG,0
CNT,4654
MOG,781
MOG2,2770
KNN,3694
GMG,0
CNT,4601
MOG,788
MOG2,2636
KNN,3755
GMG,0
CNT,4603
MOG,820
MOG2,2714
KNN,3696
GMG,0
CNT,4550
MOG,828
MOG2,2845
KNN,3607
GMG,0
CNT,4519
MOG,860
MOG2,2709
KNN,3616
GMG,0
CNT,4490
MOG,863
MOG2,2798
KNN,3506
GMG,0
CNT,4435
MOG,826
MOG2,2748
KNN,3469
GMG,0
CNT,4419
MOG,821
MOG2,2742
KNN,3408
GMG,0
CNT,4363
MOG,784
MOG2,3012
KNN,3553
GMG,0
CNT,4335
MOG,829
MOG2,3149
KNN,3478
GMG,0
CNT,4281
MOG,841
MOG2,3104
KNN,3466
GMG,0
CNT,4251
MOG,842
MOG2,3089
KNN,3384
GMG,0
CNT,4210
MOG,827
MOG2,3008
KNN,3388
GMG,0
CNT,4195
MOG,885
MOG2,3038
KNN,3361
GMG,0
CNT,4165
MOG,924
MOG2,3112
KNN,3362
GMG,0
CNT,4144
MOG,931
MOG2,3057
KNN,3318
GMG,0
CNT,4104
MOG,920
MOG2,3108
KNN,3300
GMG,0
CNT,4058
MOG,938
MOG2,3087
KNN,3375
GMG,0
CNT,4015
MOG,911
MOG2,3059
KNN,3387
GMG,0
CNT,3994
MOG,932
MOG2,3113
KNN,3407
GMG,0
CNT,3946
MOG,923
MOG2,3173
KNN,3490
GMG,0
CNT,3907
MOG,947
MOG2,3273
KNN,3451
GMG,0
CNT,3838
MOG,952
MOG2,3197
KNN,3511
GMG,0
CNT,3828
MOG,976
MOG2,3543
KNN,3500
GMG,0
CNT,3777
MOG,923
MOG2,3528
KNN,3478
GMG,0
CNT,3747
MOG,922
MOG2,3486
KNN,3417
GMG,0
CNT,3723
MOG,895
MOG2,3427
KNN,3435
GMG,0
CNT,3707
MOG,908
MOG2,3390
KNN,3406
GMG,0
CNT,3733
MOG,937
MOG2,3474
KNN,3468
GMG,0
CNT,3717
MOG,977
MOG2,3481
KNN,3422
GMG,0
